g_gameid,g_home,g_away,g_date,g_winner,g_score,g_stadium
1161,16,7,2023-04-01,16,129(H) - 122(A),16
1162,19,13,2023-04-01,19,122(H) - 114(A),19
1163,5,28,2023-04-02,28,128(A) - 108(H),5
1164,3,29,2023-04-02,3,111(H) - 110(A),3
1165,4,15,2023-04-02,4,128(H) - 107(A),4
1166,18,25,2023-04-02,25,107(A) - 105(H),18
1167,1,7,2023-04-02,1,132(H) - 130(A),1
1168,20,30,2023-04-02,20,118(H) - 109(A),20
1169,22,9,2023-04-02,22,128(H) - 102(A),22
1170,26,27,2023-04-02,27,142(A) - 134(H),26
1171,11,14,2023-04-02,14,134(A) - 109(H),11
1172,21,24,2023-04-02,24,128(A) - 118(H),21
1173,6,12,2023-04-02,6,115(H) - 105(A),6
1174,17,23,2023-04-02,17,117(H) - 104(A),17
1175,8,10,2023-04-02,8,112(H) - 110(A),8
1176,5,28,2023-04-04,28,120(A) - 100(H),5
1177,9,16,2023-04-04,16,118(A) - 105(H),9
1178,22,6,2023-04-04,6,117(A) - 113(H),22
1179,30,17,2023-04-04,17,140(A) - 128(H),30
1180,3,18,2023-04-04,18,107(A) - 102(H),3
1181,4,1,2023-04-04,1,123(A) - 105(H),4
1182,11,8,2023-04-04,11,124(H) - 103(A),11
1183,15,25,2023-04-04,15,119(H) - 109(A),15
1184,19,26,2023-04-04,26,121(A) - 103(H),19
1185,23,2,2023-04-04,23,103(H) - 101(A),23
1186,29,14,2023-04-04,14,135(A) - 133(H),29
1187,10,21,2023-04-04,10,136(H) - 125(A),10
1188,24,27,2023-04-04,24,115(H) - 94(A),24
1189,9,3,2023-04-05,3,123(A) - 108(H),9
1190,12,20,2023-04-05,20,138(A) - 129(H),12
1191,1,30,2023-04-05,1,134(H) - 116(A),1
1192,2,28,2023-04-05,2,97(H) - 93(A),2
1193,17,4,2023-04-05,17,105(H) - 92(A),17
1194,19,15,2023-04-05,19,138(H) - 131(A),19
1195,7,26,2023-04-05,7,123(H) - 119(A),7
1196,13,14,2023-04-05,13,125(H) - 118(A),13
1197,22,6,2023-04-06,6,118(A) - 94(H),22
1198,23,16,2023-04-06,16,129(A) - 101(H),23
1199,27,25,2023-04-06,27,129(H) - 127(A),27
1200,29,21,2023-04-06,21,114(A) - 98(H),29
1201,24,8,2023-04-06,24,119(H) - 115(A),24
1202,5,11,2023-04-07,11,112(A) - 109(H),5
1203,12,9,2023-04-07,9,122(A) - 115(H),12
1204,30,16,2023-04-07,30,114(H) - 108(A),30
1205,1,23,2023-04-07,23,136(A) - 131(H),1
1206,2,28,2023-04-07,2,121(H) - 102(A),2
1207,3,22,2023-04-07,3,101(H) - 84(A),3
1208,17,15,2023-04-07,15,137(A) - 114(H),17
1209,19,20,2023-04-07,19,113(H) - 105(A),19
1210,7,4,2023-04-07,4,115(A) - 112(H),7
1211,26,10,2023-04-07,10,119(A) - 97(H),26
1212,14,24,2023-04-07,14,121(H) - 107(A),13
1213,29,8,2023-04-08,29,118(H) - 114(A),29
1214,13,25,2023-04-08,13,136(H) - 125(A),13
1215,27,18,2023-04-08,18,151(A) - 131(H),27
1216,2,1,2023-04-09,2,120(H) - 114(A),2
1217,3,23,2023-04-09,23,134(A) - 105(H),3
1218,4,9,2023-04-09,4,103(H) - 81(A),4
1219,6,5,2023-04-09,5,106(A) - 95(H),6
1220,16,22,2023-04-09,16,123(H) - 110(A),16
1221,20,12,2023-04-09,12,141(A) - 136(H),20
1222,28,17,2023-04-09,28,121(H) - 105(A),28
1223,30,11,2023-04-09,11,114(A) - 109(H),30
1224,7,27,2023-04-09,27,138(A) - 117(H),7
1225,8,26,2023-04-09,8,109(H) - 95(A),8
1226,14,29,2023-04-09,14,128(H) - 117(A),13
1227,18,19,2023-04-09,18,113(H) - 108(A),18
1228,21,15,2023-04-09,21,115(H) - 100(A),21
1229,24,13,2023-04-09,13,119(A) - 114(H),24
1230,25,10,2023-04-09,10,157(A) - 101(H),25
1231,16,1,2023-04-11,1,116(A) - 105(H),16
1232,14,18,2023-04-11,14,108(H) - 102(A),13
1233,28,4,2023-04-12,4,109(A) - 105(H),28
1234,19,21,2023-04-12,21,123(A) - 118(H),19
1235,16,4,2023-04-14,16,102(H) - 91(A),16
1236,18,21,2023-04-14,18,120(H) - 95(A),18
1237,23,3,2023-04-15,23,121(H) - 101(A),23
1238,2,1,2023-04-15,2,112(H) - 99(A),2
1239,6,20,2023-04-15,20,101(A) - 97(H),6
1240,26,10,2023-04-15,26,126(H) - 123(A),26
1241,15,14,2023-04-16,14,128(A) - 112(H),15
1242,17,16,2023-04-16,16,130(A) - 117(H),17
1243,24,13,2023-04-16,13,115(A) - 110(H),24
1244,8,18,2023-04-16,8,109(H) - 80(A),8
1245,23,3,2023-04-17,23,96(H) - 84(A),23
1246,26,10,2023-04-17,26,114(H) - 106(A),26
1247,2,1,2023-04-18,2,119(H) - 106(A),2
1248,6,20,2023-04-18,6,107(H) - 90(A),6
1249,24,13,2023-04-18,24,123(H) - 109(A),24
1250,15,14,2023-04-19,15,103(H) - 93(A),15
1251,17,16,2023-04-19,17,138(H) - 122(A),17
1252,8,18,2023-04-19,8,122(H) - 113(A),8
1253,3,23,2023-04-20,23,102(A) - 97(H),3
1254,10,26,2023-04-20,10,114(H) - 97(A),10
1255,13,24,2023-04-20,24,129(A) - 124(H),13
1256,1,2,2023-04-21,1,130(H) - 122(A),1
1257,20,6,2023-04-21,20,99(H) - 79(A),20
1258,18,8,2023-04-21,8,120(A) - 111(H),18
1259,3,23,2023-04-22,23,96(A) - 88(H),3
1260,13,24,2023-04-22,24,112(A) - 100(H),13
1261,16,17,2023-04-22,16,121(H) - 99(A),16
1262,14,15,2023-04-22,14,111(H) - 101(A),13
