g_gameid,g_home,g_away,g_date,g_winner,g_score,g_stadium
769,15,25,2023-02-01,25,122(A) - 112(H),15
770,23,22,2023-02-01,23,105(H) - 94(A),23
771,2,3,2023-02-01,2,139(H) - 96(A),2
772,11,21,2023-02-01,11,112(H) - 106(A),11
773,18,10,2023-02-01,18,119(H) - 114(A),18
774,27,26,2023-02-01,26,119(A) - 109(H),27
775,29,28,2023-02-01,29,131(H) - 128(A),29
776,24,1,2023-02-01,1,132(A) - 100(H),24
777,12,14,2023-02-02,14,112(A) - 111(H),12
778,6,15,2023-02-02,6,128(H) - 113(A),6
779,20,16,2023-02-02,20,106(H) - 104(A),20
780,4,5,2023-02-02,4,114(H) - 98(A),4
781,7,19,2023-02-02,7,111(H) - 106(A),7
782,8,10,2023-02-02,8,134(H) - 117(A),8
783,17,13,2023-02-02,17,106(H) - 105(A),17
784,9,5,2023-02-03,9,118(H) - 112(A),9
785,12,26,2023-02-03,12,107(H) - 104(A),12
786,30,25,2023-02-03,25,124(A) - 116(H),30
787,2,24,2023-02-03,24,106(A) - 94(H),2
788,11,28,2023-02-03,28,117(A) - 111(H),11
789,18,22,2023-02-03,22,127(A) - 120(H),18
790,27,23,2023-02-03,23,137(A) - 125(H),27
791,29,1,2023-02-03,1,115(A) - 108(H),29
792,3,30,2023-02-04,3,125(H) - 123(A),3
793,19,14,2023-02-04,19,131(H) - 126(A),19
794,9,24,2023-02-04,24,116(A) - 100(H),9
795,20,13,2023-02-04,13,134(A) - 128(H),20
796,4,25,2023-02-04,4,129(H) - 121(A),4
797,17,16,2023-02-04,17,123(H) - 115(A),17
798,21,11,2023-02-04,21,153(H) - 121(A),21
799,10,7,2023-02-04,10,119(H) - 113(A),10
800,8,1,2023-02-04,8,128(H) - 108(A),8
801,5,22,2023-02-05,22,119(A) - 113(H),5
802,12,6,2023-02-05,6,122(A) - 103(H),12
803,15,28,2023-02-05,28,106(A) - 103(H),15
804,20,23,2023-02-05,20,108(H) - 97(A),20
805,18,8,2023-02-05,18,128(H) - 98(A),18
806,19,26,2023-02-05,19,136(H) - 104(A),19
807,9,2,2023-02-06,2,111(A) - 99(H),9
808,30,6,2023-02-06,6,114(A) - 91(H),30
809,3,13,2023-02-06,13,124(A) - 116(H),3
810,4,27,2023-02-06,4,128(H) - 104(A),4
811,11,26,2023-02-06,26,140(A) - 120(H),11
812,29,7,2023-02-06,7,124(A) - 111(H),29
813,10,21,2023-02-06,10,141(H) - 114(A),10
814,25,17,2023-02-06,17,127(A) - 108(H),25
815,22,20,2023-02-07,20,102(A) - 98(H),22
816,3,24,2023-02-07,24,116(A) - 112(H),3
817,19,1,2023-02-07,19,116(H) - 107(A),19
818,15,4,2023-02-07,15,104(H) - 89(A),15
819,8,18,2023-02-07,8,146(H) - 112(A),8
820,14,21,2023-02-07,21,133(A) - 130(H),13
821,6,9,2023-02-08,6,113(H) - 85(A),6
822,30,5,2023-02-08,30,118(H) - 104(A),30
823,2,23,2023-02-08,2,106(H) - 99(A),2
824,16,12,2023-02-08,16,116(H) - 111(A),16
825,28,27,2023-02-08,28,112(H) - 98(A),28
826,11,26,2023-02-08,26,130(A) - 128(H),11
827,29,18,2023-02-08,18,143(A) - 118(H),29
828,13,7,2023-02-08,7,110(A) - 104(H),13
829,25,10,2023-02-08,25,125(H) - 122(A),25
830,22,8,2023-02-09,22,115(H) - 104(A),22
831,1,24,2023-02-09,1,116(H) - 107(A),1
832,3,4,2023-02-09,3,116(H) - 105(A),3
833,14,17,2023-02-09,17,115(A) - 106(H),13
834,9,27,2023-02-10,9,138(H) - 131(A),9
