g_gameid,g_home,g_away,g_date,g_winner,g_score,g_stadium
547,8,2,2023-01-01,8,123(H) - 111(A),8
548,15,26,2023-01-01,15,118(H) - 108(A),15
549,17,30,2023-01-01,30,118(A) - 95(H),17
550,20,24,2023-01-02,20,102(H) - 83(A),20
551,5,14,2023-01-02,14,121(A) - 115(H),5
552,6,5,2023-01-02,6,145(H) - 134(A),6
553,12,28,2023-01-02,12,122(H) - 114(A),12
554,23,19,2023-01-02,23,120(H) - 111(A),23
555,3,27,2023-01-02,3,139(H) - 103(A),3
556,11,7,2023-01-02,7,111(A) - 106(H),11
557,18,8,2023-01-02,18,124(H) - 111(A),18
558,10,1,2023-01-02,10,143(H) - 141(A),10
559,25,9,2023-01-02,25,135(H) - 106(A),25
560,13,16,2023-01-02,16,110(A) - 100(H),13
561,17,30,2023-01-03,17,123(H) - 113(A),17
562,21,2,2023-01-03,21,150(H) - 117(A),21
563,29,26,2023-01-03,26,117(A) - 115(H),29
564,5,15,2023-01-04,15,131(A) - 107(H),5
565,6,24,2023-01-04,6,90(H) - 88(A),6
566,22,21,2023-01-04,22,126(H) - 115(A),22
567,23,12,2023-01-04,23,129(H) - 126(A),23
568,20,27,2023-01-04,20,117(H) - 114(A),20
569,28,17,2023-01-04,17,104(A) - 101(H),28
570,5,3,2023-01-04,5,121(H) - 112(A),5
571,18,25,2023-01-04,18,113(H) - 106(A),18
572,19,11,2023-01-04,19,119(H) - 108(A),19
573,10,9,2023-01-04,9,122(A) - 119(H),10
574,14,16,2023-01-04,14,112(H) - 109(A),13
575,26,1,2023-01-04,1,120(A) - 117(H),26
576,22,15,2023-01-05,15,123(A) - 115(H),22
577,7,2,2023-01-05,2,124(A) - 95(H),7
578,11,29,2023-01-05,29,131(A) - 114(H),11
579,8,13,2023-01-05,8,122(H) - 91(A),8
580,12,25,2023-01-06,12,108(H) - 99(A),12
581,23,5,2023-01-06,5,126(A) - 112(H),23
582,19,3,2023-01-06,3,108(A) - 102(H),19
583,28,20,2023-01-06,20,112(A) - 108(H),28
584,17,5,2023-01-06,5,138(A) - 109(H),17
585,21,30,2023-01-06,21,127(H) - 110(A),21
586,27,9,2023-01-06,27,121(H) - 109(A),27
587,8,6,2023-01-06,8,121(H) - 108(A),8
588,18,13,2023-01-06,18,128(H) - 115(A),18
589,24,16,2023-01-06,16,104(A) - 96(H),24
590,14,1,2023-01-06,14,130(H) - 114(A),13
591,27,2,2023-01-07,2,121(A) - 116(H),27
592,5,29,2023-01-07,5,126(H) - 118(A),5
593,7,19,2023-01-07,7,127(H) - 117(A),7
594,10,22,2023-01-07,22,115(A) - 101(H),10
595,26,14,2023-01-07,14,136(A) - 134(H),26
596,9,23,2023-01-08,23,123(A) - 111(H),9
597,28,25,2023-01-08,28,117(H) - 105(A),28
598,12,5,2023-01-08,12,116(H) - 111(A),12
599,15,29,2023-01-08,15,123(H) - 118(A),15
600,16,3,2023-01-08,3,102(A) - 101(H),16
601,11,18,2023-01-08,18,104(A) - 96(H),11
602,21,7,2023-01-08,21,120(H) - 109(A),21
603,24,6,2023-01-08,6,112(A) - 98(H),24
604,13,1,2023-01-08,1,112(A) - 108(H),13
605,30,19,2023-01-09,19,132(A) - 112(H),30
606,2,5,2023-01-09,2,107(H) - 99(A),2
607,20,17,2023-01-09,17,111(A) - 107(H),20
608,15,27,2023-01-09,15,121(H) - 113(A),15
609,8,14,2023-01-09,8,122(H) - 109(A),8
610,26,22,2023-01-09,26,136(H) - 111(A),26
611,23,9,2023-01-10,23,147(H) - 116(A),23
612,16,21,2023-01-10,16,112(H) - 111(A),16
613,28,5,2023-01-10,28,132(H) - 120(A),28
614,29,6,2023-01-10,29,116(H) - 114(A),29
