g_gameid,g_home,g_away,g_date,g_winner,g_score,g_stadium
932,5,24,2023-03-01,24,105(A) - 91(H),5
933,9,4,2023-03-01,4,117(A) - 115(H),9
934,2,6,2023-03-01,2,117(H) - 113(A),2
935,16,23,2023-03-01,23,119(A) - 96(H),16
936,20,3,2023-03-01,20,142(H) - 118(A),20
937,11,15,2023-03-01,15,113(A) - 99(H),11
938,17,22,2023-03-01,17,139(H) - 117(A),17
939,21,14,2023-03-01,14,123(A) - 117(H),21
940,25,19,2023-03-01,19,121(A) - 110(H),25
941,30,28,2023-03-02,30,119(H) - 108(A),30
942,7,23,2023-03-02,7,133(H) - 126(A),7
943,27,12,2023-03-02,27,110(H) - 99(A),27
944,10,13,2023-03-02,10,115(H) - 91(A),10
945,5,22,2023-03-03,22,117(A) - 106(H),5
946,1,25,2023-03-03,1,129(H) - 111(A),1
947,2,3,2023-03-03,3,115(A) - 105(H),2
948,4,24,2023-03-03,24,125(A) - 104(H),4
949,16,20,2023-03-03,20,122(A) - 120(H),16
950,21,29,2023-03-03,21,130(H) - 103(A),21
951,8,15,2023-03-03,8,113(H) - 97(A),8
952,10,19,2023-03-03,10,108(H) - 99(A),10
953,26,13,2023-03-03,26,128(H) - 127(A),26
954,14,18,2023-03-03,18,110(A) - 102(H),13
955,30,28,2023-03-04,28,116(A) - 109(H),30
956,6,9,2023-03-04,6,114(H) - 90(A),6
957,16,1,2023-03-04,16,117(H) - 109(A),16
958,27,11,2023-03-04,11,122(A) - 110(H),27
959,17,23,2023-03-04,23,133(A) - 130(H),17
960,26,18,2023-03-04,18,138(A) - 134(H),26
961,7,24,2023-03-05,24,130(A) - 126(H),7
962,4,12,2023-03-05,12,125(A) - 122(H),4
963,14,10,2023-03-05,14,113(H) - 105(A),13
964,3,5,2023-03-05,3,102(H) - 86(A),3
965,22,25,2023-03-05,25,122(A) - 119(H),22
966,11,27,2023-03-05,11,142(H) - 110(A),11
967,21,29,2023-03-05,21,129(H) - 119(A),21
968,2,20,2023-03-05,20,131(A) - 129(H),2
969,30,17,2023-03-05,17,117(A) - 111(H),30
970,13,15,2023-03-05,13,135(H) - 129(A),13
971,6,2,2023-03-06,6,118(H) - 114(A),6
972,9,25,2023-03-06,25,110(A) - 104(H),9
973,12,23,2023-03-06,23,147(A) - 143(H),12
974,16,1,2023-03-06,16,130(H) - 128(A),16
975,8,28,2023-03-06,8,118(H) - 113(A),8
976,26,19,2023-03-06,26,123(H) - 108(A),26
977,9,30,2023-03-07,30,119(A) - 117(H),9
978,22,17,2023-03-07,17,134(A) - 123(H),22
979,18,23,2023-03-07,23,117(A) - 94(H),18
980,20,5,2023-03-07,5,112(A) - 105(H),20
981,11,3,2023-03-07,3,118(A) - 96(H),11
982,21,10,2023-03-07,21,137(H) - 128(A),21
983,7,29,2023-03-07,7,120(H) - 116(A),7
984,14,15,2023-03-07,14,112(H) - 103(A),13
985,30,1,2023-03-08,1,122(A) - 120(H),30
986,2,25,2023-03-08,2,115(H) - 93(A),2
987,16,6,2023-03-08,6,104(A) - 100(H),16
988,19,7,2023-03-08,19,113(H) - 106(A),19
989,8,4,2023-03-08,4,117(A) - 96(H),8
990,24,21,2023-03-08,24,132(H) - 101(A),24
991,13,28,2023-03-08,13,108(H) - 100(A),13
992,9,5,2023-03-09,5,113(A) - 103(H),9
993,12,11,2023-03-09,12,134(H) - 125(A),12
994,22,29,2023-03-09,29,131(A) - 124(H),22
995,15,10,2023-03-09,15,131(H) - 110(A),15
996,17,3,2023-03-09,17,118(H) - 113(A),17
997,26,20,2023-03-09,26,122(H) - 117(A),26
998,23,25,2023-03-10,23,120(H) - 119(A),23
999,30,1,2023-03-10,1,114(A) - 107(H),30
1000,16,6,2023-03-10,16,119(H) - 115(A),16
1001,18,3,2023-03-10,3,124(A) - 123(H),18
