g_gameid,g_home,g_away,g_date,g_winner,g_score,g_stadium
1282,2,23,2023-05-01,23,119(A) - 115(H),2
1283,8,24,2023-05-01,8,97(H) - 87(A),8
1284,20,16,2023-05-02,20,111(H) - 105(A),20
1285,10,14,2023-05-02,14,117(A) - 112(H),10
1286,2,23,2023-05-03,2,121(H) - 87(A),2
1287,10,14,2023-05-04,10,127(H) - 100(A),10
1288,23,2,2023-05-05,2,114(A) - 102(H),23
1289,24,8,2023-05-05,24,121(H) - 114(A),24
1290,16,20,2023-05-06,16,105(H) - 86(A),16
1291,14,10,2023-05-06,14,127(H) - 97(A),13
1292,23,2,2023-05-07,23,116(H) - 115(A),23
1293,24,8,2023-05-07,24,129(H) - 124(A),24
1294,16,20,2023-05-08,16,109(H) - 101(A),16
1295,14,10,2023-05-08,14,104(H) - 101(A),13
1296,2,23,2023-05-09,23,115(A) - 103(H),2
1297,8,24,2023-05-09,8,118(H) - 102(A),8
1298,20,16,2023-05-10,20,112(H) - 103(A),20
1299,10,14,2023-05-10,10,121(H) - 106(A),10
1300,23,2,2023-05-11,2,95(A) - 86(H),23
1301,24,8,2023-05-11,8,125(A) - 100(H),24
1302,16,20,2023-05-12,16,96(H) - 92(A),16
1303,14,10,2023-05-12,14,122(H) - 101(A),13
1304,2,23,2023-05-14,2,112(H) - 88(A),2
1305,8,14,2023-05-16,8,132(H) - 126(A),8
1306,2,16,2023-05-17,16,123(A) - 116(H),2
1307,8,14,2023-05-18,8,108(H) - 103(A),8
1308,2,16,2023-05-19,16,111(A) - 105(H),2
1309,14,8,2023-05-20,8,119(A) - 108(H),13
1310,16,2,2023-05-21,16,128(H) - 102(A),16
1311,14,8,2023-05-22,8,113(A) - 111(H),13
1312,16,2,2023-05-23,2,116(A) - 99(H),16
1313,2,16,2023-05-25,2,110(H) - 97(A),2
1314,16,2,2023-05-27,2,104(A) - 103(H),16
1315,2,16,2023-05-29,16,103(A) - 84(H),2
