g_gameid,g_home,g_away,g_date,g_winner,g_score,g_stadium
103,3,4,2022-11-01,4,108(A) - 99(H),3
104,16,10,2022-11-01,16,116(H) - 109(A),16
105,21,22,2022-11-01,21,116(H) - 108(A),21
106,24,18,2022-11-01,24,116(H) - 107(A),24
107,23,30,2022-11-02,30,121(A) - 111(H),23
108,6,2,2022-11-02,6,114(H) - 113(A),6
109,16,26,2022-11-02,16,110(H) - 107(A),16
110,20,1,2022-11-02,1,112(A) - 99(H),20
111,4,5,2022-11-02,4,106(H) - 88(A),4
112,11,13,2022-11-02,13,109(A) - 101(H),11
113,17,9,2022-11-02,17,116(H) - 91(A),17
114,27,28,2022-11-02,28,143(A) - 100(H),27
115,7,29,2022-11-02,7,103(H) - 100(A),7
116,25,15,2022-11-02,15,111(A) - 106(H),25
117,14,19,2022-11-02,14,120(H) - 117(A),13
118,22,10,2022-11-03,22,130(H) - 129(A),22
119,21,8,2022-11-03,8,122(A) - 110(H),21
120,9,6,2022-11-04,6,112(A) - 88(H),9
121,12,16,2022-11-04,12,101(H) - 99(A),12
122,23,20,2022-11-04,20,106(A) - 104(H),23
123,30,3,2022-11-04,3,128(A) - 86(H),30
124,2,4,2022-11-04,2,123(H) - 119(A),2
125,15,5,2022-11-04,15,130(H) - 99(A),15
126,27,13,2022-11-04,13,113(A) - 106(H),27
127,7,28,2022-11-04,7,111(H) - 110(A),7
128,19,10,2022-11-04,19,114(H) - 105(A),19
129,18,17,2022-11-04,17,115(A) - 102(H),18
130,24,25,2022-11-04,25,108(A) - 106(H),24
131,14,29,2022-11-04,29,130(A) - 116(H),13
132,22,26,2022-11-05,26,126(A) - 123(H),22
133,5,3,2022-11-05,3,98(A) - 94(H),5
134,1,19,2022-11-05,1,124(H) - 121(A),1
135,20,2,2022-11-05,2,133(A) - 118(H),20
136,17,21,2022-11-05,17,108(H) - 94(A),17
137,18,11,2022-11-05,18,129(H) - 117(A),18
138,8,27,2022-11-05,8,126(H) - 101(A),8
139,24,25,2022-11-05,24,102(H) - 82(A),24
140,14,6,2022-11-06,6,114(A) - 100(H),13
141,15,30,2022-11-06,15,103(H) - 97(A),15
142,28,4,2022-11-06,28,113(H) - 104(A),28
143,13,29,2022-11-06,29,110(A) - 102(H),13
144,5,30,2022-11-07,30,108(A) - 100(H),5
145,22,11,2022-11-07,11,134(A) - 127(H),22
146,9,21,2022-11-07,9,112(H) - 103(A),9
147,12,19,2022-11-07,12,129(H) - 122(A),12
148,23,24,2022-11-07,23,100(H) - 88(A),23
149,1,17,2022-11-07,1,117(H) - 98(A),1
150,16,25,2022-11-07,25,110(A) - 107(H),16
151,4,28,2022-11-07,4,111(H) - 97(A),4
152,15,2,2022-11-07,2,109(A) - 106(H),15
153,18,20,2022-11-07,20,120(A) - 107(H),18
154,27,8,2022-11-07,8,115(A) - 109(H),27
155,7,3,2022-11-07,7,96(H) - 94(A),7
156,10,26,2022-11-07,10,116(H) - 113(A),10
157,29,14,2022-11-07,29,139(H) - 116(A),29
158,13,6,2022-11-07,13,119(H) - 117(A),13
159,22,7,2022-11-09,22,94(H) - 87(A),22
160,5,25,2022-11-09,25,105(A) - 95(H),5
161,12,8,2022-11-09,8,122(A) - 119(H),12
162,1,29,2022-11-09,29,125(A) - 119(H),1
163,2,9,2022-11-09,2,128(H) - 112(A),2
164,3,20,2022-11-09,3,112(H) - 85(A),3
165,28,11,2022-11-09,28,116(H) - 109(A),28
166,4,19,2022-11-09,19,115(A) - 111(H),4
167,18,24,2022-11-09,24,129(A) - 117(H),18
168,21,17,2022-11-09,17,136(A) - 132(H),21
169,27,15,2022-11-09,15,124(A) - 122(H),27
170,13,14,2022-11-09,13,114(H) - 101(A),13
171,26,6,2022-11-09,26,127(H) - 120(A),26
172,30,7,2022-11-10,30,113(H) - 105(A),30
173,1,23,2022-11-10,1,104(H) - 95(A),1
174,16,5,2022-11-10,16,117(H) - 112(A),16
175,19,25,2022-11-10,25,106(A) - 95(H),19
176,2,8,2022-11-11,2,131(H) - 112(A),2
177,22,24,2022-11-11,22,114(H) - 97(A),22
178,20,9,2022-11-11,20,121(H) - 112(A),20
179,21,28,2022-11-11,21,132(H) - 113(A),21
180,27,17,2022-11-11,27,111(H) - 93(A),27
181,15,18,2022-11-11,15,114(H) - 103(A),15
182,10,6,2022-11-11,10,106(H) - 101(A),10
183,14,26,2022-11-11,26,120(A) - 114(H),13
184,13,3,2022-11-12,3,110(A) - 95(H),13
185,30,29,2022-11-12,30,121(H) - 112(A),30
186,9,2,2022-11-12,2,117(A) - 108(H),9
187,12,28,2022-11-12,12,118(H) - 104(A),12
188,23,1,2022-11-12,23,121(H) - 109(A),23
189,16,5,2022-11-12,16,132(H) - 115(A),16
190,7,25,2022-11-12,7,117(H) - 112(A),7
191,19,11,2022-11-12,19,119(H) - 106(A),19
192,20,21,2022-11-13,21,145(A) - 135(H),20
193,6,18,2022-11-13,18,129(A) - 124(H),6
194,30,15,2022-11-13,30,102(H) - 92(A),30
195,23,29,2022-11-13,23,105(H) - 98(A),23
196,4,8,2022-11-13,8,126(A) - 103(H),4
197,26,10,2022-11-13,26,122(H) - 115(A),26
198,14,3,2022-11-13,14,116(H) - 103(A),13
199,9,28,2022-11-14,28,115(A) - 111(H),9
200,22,5,2022-11-14,5,112(A) - 105(H),22
201,2,21,2022-11-14,2,126(H) - 122(A),2
202,16,24,2022-11-14,16,113(H) - 112(A),16
203,11,13,2022-11-14,13,122(A) - 106(H),11
204,17,1,2022-11-14,1,121(A) - 106(H),17
205,10,27,2022-11-14,10,132(H) - 95(A),10
206,19,15,2022-11-15,19,113(H) - 102(A),19
207,7,13,2022-11-15,7,103(H) - 101(A),7
208,29,20,2022-11-15,20,118(A) - 111(H),29
209,25,27,2022-11-15,25,117(H) - 110(A),25
210,26,3,2022-11-15,26,153(H) - 121(A),26
211,5,12,2022-11-16,12,125(A) - 113(H),5
212,22,18,2022-11-16,18,126(A) - 108(H),22
213,30,21,2022-11-16,21,121(A) - 120(H),30
214,1,2,2022-11-16,2,126(A) - 101(H),1
215,28,16,2022-11-16,28,112(H) - 104(A),28
216,17,6,2022-11-16,17,113(H) - 98(A),17
217,19,4,2022-11-16,19,124(H) - 110(A),19
218,7,11,2022-11-16,11,101(A) - 92(H),7
219,8,20,2022-11-16,20,106(A) - 103(H),8
220,24,10,2022-11-16,24,130(H) - 119(A),24
221,25,3,2022-11-17,3,109(A) - 107(H),25
222,26,27,2022-11-17,26,130(H) - 112(A),26
223,13,9,2022-11-17,13,96(H) - 91(A),13
224,30,16,2022-11-18,30,107(H) - 106(A),30
225,6,5,2022-11-18,6,132(H) - 122(A),6
226,23,17,2022-11-18,23,110(H) - 102(A),23
227,4,22,2022-11-18,22,108(A) - 107(H),4
228,11,12,2022-11-18,12,99(A) - 91(H),11
229,15,21,2022-11-18,15,121(H) - 110(A),15
230,7,8,2022-11-18,7,127(H) - 99(A),7
231,19,2,2022-11-18,2,117(A) - 109(H),19
232,29,24,2022-11-18,29,134(H) - 133(A),29
233,10,20,2022-11-18,10,111(H) - 101(A),10
234,14,9,2022-11-18,14,128(H) - 121(A),13
235,1,28,2022-11-19,1,124(H) - 122(A),1
236,12,22,2022-11-19,12,114(H) - 113(A),12
237,23,18,2022-11-19,18,112(A) - 109(H),23
238,25,29,2022-11-19,29,118(A) - 113(H),25
239,13,27,2022-11-19,13,119(H) - 97(A),13
240,24,20,2022-11-20,24,116(H) - 95(A),24
241,26,9,2022-11-20,26,137(H) - 129(A),26
242,30,5,2022-11-20,30,106(H) - 102(A),30
243,3,15,2022-11-20,3,127(H) - 115(A),3
244,6,16,2022-11-20,6,113(H) - 87(A),6
245,11,10,2022-11-20,10,127(A) - 120(H),11
246,7,8,2022-11-20,8,98(A) - 97(H),7
247,14,27,2022-11-20,14,123(H) - 92(A),13
248,6,1,2022-11-21,6,114(H) - 102(A),6
249,12,22,2022-11-21,12,123(H) - 102(A),12
250,4,2,2022-11-21,4,121(H) - 107(A),4
251,17,25,2022-11-21,17,119(H) - 111(A),17
252,18,16,2022-11-21,18,105(H) - 101(A),18
253,19,10,2022-11-21,19,128(H) - 83(A),19
254,21,20,2022-11-21,20,129(A) - 119(H),21
255,13,29,2022-11-21,13,121(H) - 114(A),13
256,23,3,2022-11-22,23,115(H) - 106(A),23
257,15,26,2022-11-22,26,113(A) - 109(H),15
258,8,9,2022-11-22,9,110(A) - 108(H),8
259,24,14,2022-11-22,24,115(H) - 105(A),24
