g_gameid,g_home,g_away,g_date,g_winner,g_score,g_stadium
1,2,23,2022-10-18,2,126(H) - 117(A),2
2,10,14,2022-10-18,10,123(H) - 109(A),10
3,9,22,2022-10-19,9,113(H) - 109(A),9
4,12,30,2022-10-19,30,114(A) - 107(H),12
5,1,11,2022-10-19,1,117(H) - 107(A),1
6,3,19,2022-10-19,19,130(A) - 108(H),3
7,15,20,2022-10-19,15,115(H) - 112(A),15
8,16,4,2022-10-19,4,116(A) - 108(H),16
9,28,6,2022-10-19,28,108(H) - 105(A),28
10,18,21,2022-10-19,18,115(H) - 108(A),18
11,27,5,2022-10-19,5,129(A) - 102(H),27
12,29,8,2022-10-19,29,123(H) - 102(A),29
13,24,7,2022-10-19,24,107(H) - 105(A),24
14,26,25,2022-10-19,25,115(A) - 108(H),26
15,23,17,2022-10-20,17,90(A) - 88(H),23
16,14,13,2022-10-20,13,103(A) - 97(H),13
17,5,19,2022-10-21,19,124(A) - 112(H),5
18,12,27,2022-10-21,27,137(A) - 134(H),12
19,30,4,2022-10-21,30,102(H) - 100(A),30
20,1,22,2022-10-21,1,108(H) - 98(A),1
21,3,28,2022-10-21,3,109(H) - 105(A),3
22,16,2,2022-10-21,2,111(A) - 104(H),16
23,20,9,2022-10-21,20,130(H) - 106(A),20
24,11,15,2022-10-21,15,129(A) - 122(H),11
25,18,29,2022-10-21,29,132(A) - 126(H),18
26,10,8,2022-10-21,8,128(A) - 123(H),10
27,25,24,2022-10-21,25,113(H) - 111(A),25
28,23,27,2022-10-22,27,114(A) - 105(H),23
29,12,9,2022-10-22,12,124(H) - 115(A),12
30,22,2,2022-10-22,2,126(A) - 120(H),22
31,4,6,2022-10-22,6,128(A) - 96(H),4
32,16,28,2022-10-22,16,112(H) - 109(A),16
33,17,11,2022-10-22,17,125(H) - 105(A),17
34,7,15,2022-10-22,7,137(H) - 96(A),7
35,8,21,2022-10-22,8,122(H) - 117(A),8
36,26,13,2022-10-22,13,111(A) - 109(H),26
37,14,25,2022-10-23,25,106(A) - 104(H),13
38,1,5,2022-10-23,5,126(A) - 109(H),1
39,6,30,2022-10-23,6,117(H) - 107(A),6
40,19,29,2022-10-23,29,122(A) - 121(H),19
41,21,18,2022-10-23,18,116(A) - 106(H),21
42,10,26,2022-10-23,10,130(H) - 125(A),10
43,13,24,2022-10-23,24,112(A) - 95(H),13
44,23,12,2022-10-24,23,120(H) - 106(A),23
45,16,28,2022-10-24,28,98(A) - 90(H),16
46,20,22,2022-10-24,20,115(H) - 102(A),20
47,4,2,2022-10-24,4,120(H) - 102(A),4
48,11,29,2022-10-24,11,114(H) - 108(A),11
49,15,3,2022-10-24,15,134(H) - 124(A),15
50,18,27,2022-10-24,27,115(A) - 106(H),18
51,25,8,2022-10-24,25,135(H) - 110(A),25
52,30,9,2022-10-25,30,120(H) - 99(A),30
53,19,7,2022-10-25,19,113(H) - 111(A),19
54,21,13,2022-10-25,21,108(H) - 94(A),21
55,24,10,2022-10-25,24,134(H) - 105(A),24
56,6,22,2022-10-26,6,103(H) - 92(A),6
57,9,1,2022-10-26,1,118(A) - 113(H),9
58,17,3,2022-10-26,17,110(H) - 99(A),17
59,20,5,2022-10-26,20,134(H) - 131(A),20
60,28,23,2022-10-26,28,119(H) - 109(A),28
61,4,12,2022-10-26,4,124(H) - 109(A),4
62,18,27,2022-10-26,18,134(H) - 122(A),18
63,29,11,2022-10-26,29,109(H) - 101(A),29
64,8,14,2022-10-26,8,110(H) - 99(A),8
65,25,16,2022-10-26,16,119(A) - 98(H),25
66,3,7,2022-10-27,7,129(A) - 125(H),3
67,21,13,2022-10-27,21,118(H) - 110(A),21
68,10,16,2022-10-27,10,123(H) - 110(A),10
69,26,15,2022-10-27,15,125(A) - 110(H),26
70,9,1,2022-10-28,1,136(A) - 112(H),9
71,22,5,2022-10-28,22,113(H) - 93(A),22
72,2,6,2022-10-28,6,132(A) - 123(H),2
73,28,23,2022-10-28,23,112(A) - 90(H),28
74,30,12,2022-10-28,12,127(A) - 117(H),30
75,17,20,2022-10-28,17,119(H) - 108(A),17
76,18,14,2022-10-28,18,111(H) - 102(A),18
77,27,4,2022-10-28,27,129(H) - 124(A),27
78,8,29,2022-10-28,8,117(H) - 101(A),8
79,24,19,2022-10-28,24,124(H) - 111(A),24
80,25,11,2022-10-28,25,125(H) - 111(A),25
81,26,16,2022-10-29,26,119(H) - 113(A),26
82,5,10,2022-10-29,5,120(H) - 113(A),5
83,3,12,2022-10-29,12,125(A) - 116(H),3
84,4,23,2022-10-29,23,114(A) - 109(H),4
85,17,1,2022-10-29,17,123(H) - 115(A),17
86,7,21,2022-10-29,21,117(A) - 111(H),7
87,29,15,2022-10-29,29,124(H) - 123(A),29
88,13,19,2022-10-30,19,112(A) - 91(H),13
89,2,30,2022-10-30,2,112(H) - 94(A),2
90,6,20,2022-10-30,6,121(H) - 108(A),6
91,9,10,2022-10-30,9,128(H) - 114(A),9
92,27,18,2022-10-30,27,107(H) - 98(A),27
93,7,22,2022-10-30,7,114(H) - 105(A),7
94,24,11,2022-10-30,24,124(H) - 109(A),24
95,14,8,2022-10-30,14,121(H) - 110(A),13
96,5,26,2022-10-31,26,115(A) - 108(H),5
97,30,23,2022-10-31,23,118(A) - 111(H),30
98,3,12,2022-10-31,3,116(H) - 109(A),3
99,28,1,2022-10-31,28,139(H) - 109(A),28
100,17,9,2022-10-31,17,110(H) - 108(A),17
101,29,15,2022-10-31,29,121(H) - 105(A),29
102,13,11,2022-10-31,13,95(H) - 93(A),13
