n_newsid,n_type,n_date,n_news
1,Signing,2022-06-12,Jalen Brunson signed a 4-year deal worth $104 million with the New York Knicks
2,Trade,2022-07-06,"The Minnesota Timberwolves traded Malik Beasley, Patrick Beverley, Leandro Bolmaro, Walker Kessler, Jarred Vanderbilt, and five 1st round draft picks to the Utah Jazz for Rudy Gobert."
3,Trade,2022-07-06,"The Detroit Pistons traded Jerami Grant and Ismael Kamagate to the Portland Trail Blazers for Gabriele Procida, a 1st round draft pick, and two 2nd round draft picks."
4,Trade,2022-07-06,The Denver Nuggets traded Will Barton and Monte Morris to the Washington Wizards for Kentavious Caldwell-Pope and Ish Smith.
5,Trade,2022-07-06,"The Atlanta Hawks traded Kevin Huerter to the Sacramento Kings for Maurice Harkless, Justin Holiday and a 2024 1st round draft pick"
6,Trade,2022-07-06,The Detroit Pistons traded a 1st round draft pick to the New York Knicks for Jalen Duren and Kemba Walker
7,Extension,2022-07-06,Bradley Beal signed a 5-year extension worth $251 million with the Washington Wizards
8,Extension,2022-07-06,Anfernee Simons signed a 4-year extension worth $100 million with the Portland Trailblazers
9,Signing,2022-07-06,Gary Payton ll signed a 3-year deal worth $28 million with the Portland Trailblazers
10,Extension,2022-07-06,Jusuf Nurkic signed a 4-year extension worth $70 million with the Portland Trailblazers
11,Extension,2022-07-06,Zion Williamson signed a 4-year extension worth $194 million with the New Orleans Pelicans
12,Extension,2022-07-06,Devin Booker signed a 4-year extension worth $272 million with the Phoenix Suns
13,Signing,2022-07-06,Tyus Jones signed a 2-year deal worth $30 million with the Memphis Grizzlies
14,Signing,2022-07-06,P.J. Tucker signed a 3-year deal worth $33.2 million with the Philadelphia 76ers
15,Signing,2022-07-06,Malik Monk signed a 2-year deal worth $19 million with the Sacramento Kings
16,Signing,2022-07-06,Kevon Looney signed a 3-year deal worth $25.5 million with the Golden State Warriors
17,Extension,2022-07-07,Zach LaVine signed a 5-year extension worth $215.2 million with the Chicago Bulls
18,Signing,2022-07-07,Bruce Brown signed a 2-year deal worth $13 million with the Denver Nuggets
19,Extension,2022-07-07,Karl-Anthony Towns signed a 4-year extension worth $224 million with the Minnesota Timberwolves
20,Extension,2022-07-08,Nikola Jokic signed a 5-year extension worth $272 million with the Denver Nuggets 
21,Trade,2022-07-09,"The Boston Celtics traded Malik Fitts, Juwan Morgan, Aaron Nesmith, Nik Stauskas, Daniel Theis, and a 1st round draft pick to the Indiana Pacers for Malcolm Brogdon."
22,Extension,2022-07-09,Damian Lillard signed a 2-year extension worth $106 million with the Portland Trailblazers
23,Signing,2022-07-15,Deandre Ayton signed a 4-year deal worth $133 million with the Phoenix Suns
24,Extension,2022-07-27,James Harden signed a 2-year extension worth $68.6 million with the Philadelphia 76ers
25,Trade,2022-09-03,"The Cleveland Cavaliers traded Ochai Agbaji, Lauri Markkanen, Collin Sexton, and five 1st round draft picks to the Utah Jazz for Donovan Mitchell."
26,Trade,2022-09-22,The Detroit Pistons traded Saben Lee and Kelly Olynyk to the Utah Jazz for Bojan Bogdanovic.
27,Suspension,2022-10-23,Caleb Martin and Nikola Jovic were suspended for 1 game
28,Extension,2022-10-30,Bojan Bogdanovic signed a 2-year extension worth $39 million with the Detroit Pistons
