g_gameid,g_home,g_away,g_date,g_winner,g_score,g_stadium
325,9,7,2022-12-01,9,131(H) - 125(A),9
326,5,30,2022-12-02,5,117(H) - 116(A),5
327,1,8,2022-12-02,1,117(H) - 109(A),1
328,2,16,2022-12-02,16,120(A) - 116(H),2
329,3,28,2022-12-02,3,114(H) - 105(A),3
330,6,22,2022-12-02,6,107(H) - 96(A),6
331,17,14,2022-12-02,14,133(A) - 129(H),17
332,15,23,2022-12-02,15,117(H) - 109(A),15
333,27,19,2022-12-02,19,117(A) - 99(H),27
334,24,11,2022-12-02,11,122(A) - 121(H),24
335,29,12,2022-12-02,29,139(H) - 119(A),29
336,10,4,2022-12-02,10,119(H) - 111(A),10
337,20,7,2022-12-03,7,121(A) - 100(H),20
338,13,26,2022-12-03,26,123(A) - 96(H),13
339,5,17,2022-12-03,17,105(A) - 96(H),5
340,18,21,2022-12-03,21,135(A) - 128(H),18
341,28,22,2022-12-03,28,121(H) - 108(A),28
342,10,11,2022-12-03,10,120(H) - 101(A),10
343,29,25,2022-12-03,25,116(A) - 111(H),29
344,19,8,2022-12-04,19,121(H) - 106(A),19
345,27,24,2022-12-04,24,133(A) - 95(H),27
346,3,2,2022-12-04,2,103(A) - 92(H),3
347,9,15,2022-12-04,15,122(A) - 112(H),9
348,20,6,2022-12-04,20,92(H) - 81(A),20
349,26,4,2022-12-04,26,110(H) - 101(A),26
350,30,14,2022-12-04,14,130(A) - 119(H),30
351,25,12,2022-12-04,25,116(H) - 100(A),25
352,5,13,2022-12-05,13,119(A) - 117(H),5
353,22,17,2022-12-05,17,109(A) - 102(H),22
354,1,21,2022-12-05,21,121(A) - 114(H),1
355,28,2,2022-12-05,2,116(A) - 110(H),28
356,11,23,2022-12-05,11,132(H) - 123(A),11
357,15,16,2022-12-05,15,101(H) - 93(A),15
358,7,24,2022-12-05,7,130(H) - 111(A),7
359,10,12,2022-12-05,12,112(A) - 104(H),10
360,6,14,2022-12-06,6,116(H) - 102(A),6
361,16,9,2022-12-06,9,116(A) - 96(H),16
362,8,7,2022-12-06,7,116(A) - 115(H),8
363,22,13,2022-12-07,22,116(H) - 111(A),22
364,3,5,2022-12-07,3,122(H) - 116(A),3
365,20,1,2022-12-07,20,113(H) - 89(A),20
366,28,14,2022-12-07,28,126(H) - 113(A),28
367,4,30,2022-12-07,4,115(H) - 111(A),4
368,15,21,2022-12-07,15,123(H) - 102(A),15
369,17,26,2022-12-07,17,126(H) - 113(A),17
370,18,12,2022-12-07,18,121(H) - 115(A),18
371,19,9,2022-12-07,19,104(H) - 98(A),19
372,29,10,2022-12-07,29,124(H) - 123(A),29
373,24,2,2022-12-07,2,125(A) - 98(H),24
374,16,13,2022-12-08,16,115(H) - 110(A),16
375,27,11,2022-12-08,27,118(H) - 109(A),27
376,25,8,2022-12-08,8,121(A) - 120(H),25
377,5,20,2022-12-09,20,121(A) - 102(H),5
378,12,30,2022-12-09,12,121(H) - 111(A),12
379,22,28,2022-12-09,22,113(H) - 109(A),22
380,3,1,2022-12-09,3,120(H) - 116(A),3
381,6,26,2022-12-09,26,106(A) - 95(H),6
382,23,14,2022-12-09,23,133(H) - 122(A),23
383,15,9,2022-12-09,15,114(H) - 103(A),15
384,19,24,2022-12-09,19,128(H) - 117(A),19
385,29,18,2022-12-09,18,118(A) - 108(H),29
386,7,17,2022-12-09,17,106(A) - 105(H),7
387,16,27,2022-12-10,27,115(A) - 111(H),16
388,12,3,2022-12-10,3,136(A) - 133(H),12
389,30,13,2022-12-10,13,114(A) - 107(H),30
390,6,21,2022-12-10,6,110(H) - 102(A),6
391,4,7,2022-12-10,4,144(H) - 115(A),4
392,10,2,2022-12-10,10,123(H) - 107(A),10
393,8,29,2022-12-10,8,115(H) - 110(A),8
394,25,18,2022-12-10,25,124(H) - 118(A),25
395,19,24,2022-12-11,19,129(H) - 124(A),19
396,9,14,2022-12-11,14,124(A) - 117(H),9
397,20,26,2022-12-11,20,112(H) - 99(A),20
398,22,28,2022-12-11,22,111(H) - 99(A),22
399,23,5,2022-12-11,23,131(H) - 113(A),23
400,1,4,2022-12-11,1,123(H) - 122(A),1
401,11,17,2022-12-11,11,97(H) - 92(A),11
402,12,16,2022-12-12,16,87(A) - 82(H),12
403,30,3,2022-12-12,3,112(A) - 100(H),30
404,15,1,2022-12-12,15,128(H) - 103(A),15
405,7,21,2022-12-12,7,121(H) - 114(A),7
406,27,6,2022-12-12,27,112(H) - 111(A),27
407,25,18,2022-12-12,25,133(H) - 112(A),25
408,13,2,2022-12-12,13,113(H) - 93(A),13
409,23,26,2022-12-13,23,123(H) - 103(A),23
410,17,10,2022-12-13,17,128(H) - 111(A),17
411,11,24,2022-12-13,11,111(H) - 97(A),11
412,29,19,2022-12-13,29,121(H) - 100(A),29
413,14,2,2022-12-13,2,122(A) - 118(H),13
414,5,9,2022-12-14,9,141(A) - 134(H),5
415,12,10,2022-12-14,12,125(H) - 119(A),12
416,22,1,2022-12-14,22,135(H) - 124(A),22
417,4,20,2022-12-14,20,128(A) - 120(H),4
418,28,26,2022-12-14,26,124(A) - 123(H),28
419,21,16,2022-12-14,16,110(A) - 108(H),21
420,27,25,2022-12-14,25,128(A) - 112(H),27
421,7,6,2022-12-14,6,105(A) - 90(H),7
422,8,30,2022-12-14,8,141(H) - 128(A),8
423,13,18,2022-12-14,13,99(H) - 88(A),13
424,11,16,2022-12-15,16,111(A) - 108(H),11
425,15,17,2022-12-15,15,142(H) - 101(A),15
426,29,19,2022-12-15,29,132(H) - 129(A),29
427,13,24,2022-12-15,24,111(A) - 95(H),13
428,5,1,2022-12-16,1,125(A) - 106(H),5
429,9,26,2022-12-16,26,122(A) - 113(H),9
430,2,22,2022-12-16,22,117(A) - 109(H),2
431,6,12,2022-12-16,6,118(H) - 112(A),6
432,23,10,2022-12-16,23,118(H) - 106(A),23
433,28,3,2022-12-16,3,119(A) - 116(H),28
434,4,20,2022-12-16,20,114(A) - 91(H),4
435,21,18,2022-12-16,18,112(A) - 110(H),21
436,7,25,2022-12-16,7,130(H) - 110(A),7
437,14,8,2022-12-16,14,126(H) - 108(A),13
438,13,30,2022-12-17,13,102(H) - 93(A),13
439,27,16,2022-12-17,16,111(A) - 101(H),27
440,6,7,2022-12-17,6,100(H) - 99(A),6
441,11,25,2022-12-17,25,107(A) - 95(H),11
442,17,29,2022-12-17,17,123(H) - 97(A),17
443,21,15,2022-12-17,21,115(H) - 109(A),21
444,24,19,2022-12-17,24,118(H) - 114(A),24
445,2,22,2022-12-18,22,95(A) - 92(H),2
446,12,20,2022-12-18,20,109(A) - 106(H),12
447,9,3,2022-12-18,3,124(A) - 121(H),9
448,28,10,2022-12-18,10,126(A) - 110(H),28
449,18,4,2022-12-18,18,150(H) - 126(A),18
450,8,5,2022-12-18,8,119(H) - 115(A),8
451,14,30,2022-12-18,14,119(H) - 117(A),13
452,6,29,2022-12-19,6,122(H) - 99(A),6
453,23,28,2022-12-19,23,104(H) - 101(A),23
454,1,22,2022-12-19,1,126(H) - 125(A),1
455,11,27,2022-12-19,27,124(A) - 105(H),11
456,18,7,2022-12-19,18,116(H) - 106(A),18
457,19,17,2022-12-19,17,128(A) - 119(H),19
458,21,25,2022-12-19,21,123(H) - 121(A),21
459,24,14,2022-12-19,24,130(H) - 104(A),24
460,26,5,2022-12-19,5,125(A) - 119(H),26
461,9,29,2022-12-20,29,126(A) - 111(H),9
462,16,4,2022-12-20,4,113(A) - 103(H),16
463,20,10,2022-12-20,20,132(H) - 94(A),20
464,24,30,2022-12-20,30,113(A) - 110(H),24
465,8,15,2022-12-20,8,105(H) - 91(A),8
466,6,17,2022-12-21,6,114(H) - 106(A),6
467,23,9,2022-12-21,23,113(H) - 93(A),23
468,1,4,2022-12-21,4,110(A) - 108(H),1
469,2,12,2022-12-21,12,117(A) - 112(H),2
